date,ticker,sentiment_earnings,count_earnings,count_positive_earnings,count_negative_earnings,sentiment_product,count_product,count_positive_product,count_negative_product,sentiment_analyst,count_analyst,count_positive_analyst,count_negative_analyst,sentiment_regulatory,count_regulatory,count_positive_regulatory,count_negative_regulatory,sentiment_macroeconomic,count_macroeconomic,count_positive_macroeconomic,count_negative_macroeconomic,sentiment_m&a,count_m&a,count_positive_m&a,count_negative_m&a,has_earnings_news,has_product_news,has_analyst_news,has_regulatory_news,has_macroeconomic_news,has_m&a_news
2025-11-20,NVDA,-0.07965392997595475,8,3,5,0.4411365245595294,1,1,0,0.060489873063177525,3,2,1,0.4492914623783361,1,1,0,0.0,0,0,0,0.15402411871863642,13,7,6,1,1,1,1,0,1
2025-11-20,META,0.0,0,0,0,0.5616058906250341,1,1,0,0.0,0,0,0,0.0,0,0,0,0.5966568417523485,1,1,0,0.5616233576920696,2,2,0,0,1,0,0,1,1
2025-11-19,NVDA,-0.08332840234808656,5,2,3,0.3734882966067605,1,1,0,-0.5528140036027506,1,0,1,0.0,0,0,0,-0.2508586862525148,1,0,1,0.6715001560722322,2,2,0,1,1,1,0,1,1
2025-11-19,GOOGL,0.0,0,0,0,0.6768816336626431,3,3,0,-0.4816200256301517,1,0,1,0.0,0,0,0,0.0,0,0,0,0.34059929718706805,5,4,1,0,1,1,0,0,1
2025-11-19,META,0.0,0,0,0,0.0,0,0,0,-0.0456072610074406,1,0,1,0.0,0,0,0,0.2893454372448946,1,1,0,-0.0033947659350345,1,0,1,0,0,1,0,1,1
2025-11-19,AAPL,0.8660101855217586,1,1,0,-0.3975857165812361,1,0,1,0.0,0,0,0,0.3060831141012796,1,1,0,0.0,0,0,0,0.3029561092672471,3,2,1,1,1,0,1,0,1
2025-11-19,AMZN,0.0,0,0,0,0.0,0,0,0,0.0689304603054732,1,1,0,0.7122020315664717,1,1,0,0.0,0,0,0,-0.025416485443410214,8,4,4,0,0,1,1,0,1
2025-11-19,MSFT,0.09422624608300659,2,1,1,-0.0585771545668238,1,0,1,-0.02181497757268963,2,1,1,0.0,0,0,0,-0.24812127062849546,2,0,2,0.2142225263401356,6,4,2,1,1,1,0,1,1
2025-11-19,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.5576971757542172,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0
2025-11-18,GOOGL,0.0,0,0,0,0.6077508887574341,2,2,0,0.0,0,0,0,0.6803563283668097,2,2,0,0.0,0,0,0,0.3483584616172629,5,4,1,0,1,0,1,0,1
2025-11-18,AMZN,-0.4305008012902173,1,0,1,0.17454590548364404,3,2,1,0.0,0,0,0,0.0,0,0,0,0.661832514638709,1,1,0,0.3432566983873908,6,4,2,1,1,0,0,1,1
2025-11-18,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.7749641718565073,1,1,0,0,0,0,0,0,1
2025-11-18,META,0.0,0,0,0,-0.0494199268029219,1,0,1,0.6650543692985638,2,2,0,0.715364233806333,1,1,0,0.0,0,0,0,0.493034661363291,1,1,0,0,1,1,1,0,1
2025-11-18,MSFT,-0.0384912453640009,1,0,1,0.47988843448434043,3,3,0,0.0,0,0,0,0.21840968631085736,3,2,1,0.0,0,0,0,0.28216762508159277,8,5,3,1,1,0,1,0,1
2025-11-18,AAPL,0.4722325220846486,1,1,0,0.36267739227175144,3,2,1,0.26353075159906686,3,2,1,0.0,0,0,0,0.0,0,0,0,0.10062636427774013,3,2,1,1,1,1,0,0,1
